Date,Place,Crop,Production
2019-12-31,Bokod,Cabbage,474.005
2015-01-31,Buguias,Cabbage,1910.298
2015-02-28,Buguias,Cabbage,4457.362
2015-03-31,Buguias,Cabbage,7004.426
2015-04-30,Buguias,Cabbage,4457.362
2015-05-31,Buguias,Cabbage,7641.192
2015-06-30,Buguias,Cabbage,10825.022
2015-07-31,Buguias,Cabbage,636.766
2015-08-31,Buguias,Cabbage,1910.298
2015-09-30,Buguias,Cabbage,2865.447
2015-10-31,Buguias,Cabbage,3183.83
2015-11-30,Buguias,Cabbage,7641.192
2015-12-31,Buguias,Cabbage,11143.405
2016-01-31,Buguias,Cabbage,1885.098
2016-02-29,Buguias,Cabbage,4398.562
2016-03-31,Buguias,Cabbage,6912.026
2016-04-30,Buguias,Cabbage,4398.562
2016-05-31,Buguias,Cabbage,7540.392
2016-06-30,Buguias,Cabbage,10682.222
2016-07-31,Buguias,Cabbage,628.366
2016-08-31,Buguias,Cabbage,1885.098
2016-09-30,Buguias,Cabbage,2827.647
2016-10-31,Buguias,Cabbage,3141.83
2016-11-30,Buguias,Cabbage,7540.392
2016-12-31,Buguias,Cabbage,10996.405
2017-01-31,Buguias,Cabbage,1779.615
2017-02-28,Buguias,Cabbage,4152.435
2017-03-31,Buguias,Cabbage,6525.255
2017-04-30,Buguias,Cabbage,4152.435
2017-05-31,Buguias,Cabbage,7118.46
2017-06-30,Buguias,Cabbage,10084.485
2017-07-31,Buguias,Cabbage,593.205
2017-08-31,Buguias,Cabbage,1779.615
2017-09-30,Buguias,Cabbage,2669.423
2017-10-31,Buguias,Cabbage,2966.025
2017-11-30,Buguias,Cabbage,7118.46
2017-12-31,Buguias,Cabbage,10381.088
2018-01-31,Buguias,Cabbage,1299.06
2018-02-28,Buguias,Cabbage,3031.14
2018-03-31,Buguias,Cabbage,4763.22
2018-04-30,Buguias,Cabbage,3031.14
2018-05-31,Buguias,Cabbage,5196.24
2018-06-30,Buguias,Cabbage,7361.34
2018-07-31,Buguias,Cabbage,433.02
2018-08-31,Buguias,Cabbage,1299.06
2018-09-30,Buguias,Cabbage,1948.59
2018-10-31,Buguias,Cabbage,2165.1
2018-11-30,Buguias,Cabbage,5196.24
2018-12-31,Buguias,Cabbage,7577.85
2019-01-31,Buguias,Cabbage,1593.378
2019-02-28,Buguias,Cabbage,3717.882
2019-03-31,Buguias,Cabbage,5842.386
2019-04-30,Buguias,Cabbage,3717.882
2019-05-31,Buguias,Cabbage,6373.512
2019-06-30,Buguias,Cabbage,9029.142
2019-07-31,Buguias,Cabbage,531.126
2019-08-31,Buguias,Cabbage,1593.378
2019-09-30,Buguias,Cabbage,2390.067
2019-10-31,Buguias,Cabbage,2655.63
2019-11-30,Buguias,Cabbage,6373.512
2019-12-31,Buguias,Cabbage,9294.705
2015-01-31,Itogon,Cabbage,17.7
2015-02-28,Itogon,Cabbage,41.3
2015-03-31,Itogon,Cabbage,64.9
2015-04-30,Itogon,Cabbage,41.3
2015-05-31,Itogon,Cabbage,70.8
2015-06-30,Itogon,Cabbage,100.3
2015-07-31,Itogon,Cabbage,5.9
2015-08-31,Itogon,Cabbage,17.7
2015-09-30,Itogon,Cabbage,26.55
2015-10-31,Itogon,Cabbage,29.5
2015-11-30,Itogon,Cabbage,70.8
2015-12-31,Itogon,Cabbage,103.25
2016-01-31,Itogon,Cabbage,18.3
2016-02-29,Itogon,Cabbage,42.7
2016-03-31,Itogon,Cabbage,67.1
2016-04-30,Itogon,Cabbage,42.7
2016-05-31,Itogon,Cabbage,73.2
2016-06-30,Itogon,Cabbage,103.7
2016-07-31,Itogon,Cabbage,6.1
2016-08-31,Itogon,Cabbage,18.3
2016-09-30,Itogon,Cabbage,27.45
2016-10-31,Itogon,Cabbage,30.5
2016-11-30,Itogon,Cabbage,73.2
2016-12-31,Itogon,Cabbage,106.75
2017-01-31,Itogon,Cabbage,19.2
2017-02-28,Itogon,Cabbage,44.8
2017-03-31,Itogon,Cabbage,70.4
2017-04-30,Itogon,Cabbage,44.8
2017-05-31,Itogon,Cabbage,76.8
2017-06-30,Itogon,Cabbage,108.8
2017-07-31,Itogon,Cabbage,6.4
2017-08-31,Itogon,Cabbage,19.2
2017-09-30,Itogon,Cabbage,28.8
2017-10-31,Itogon,Cabbage,32
2017-11-30,Itogon,Cabbage,76.8
2017-12-31,Itogon,Cabbage,112
2018-01-31,Itogon,Cabbage,18.3
2018-02-28,Itogon,Cabbage,42.7
2018-03-31,Itogon,Cabbage,67.1
2018-04-30,Itogon,Cabbage,42.7
2018-05-31,Itogon,Cabbage,73.2
2018-06-30,Itogon,Cabbage,103.7
2018-07-31,Itogon,Cabbage,6.1
2018-08-31,Itogon,Cabbage,18.3
2018-09-30,Itogon,Cabbage,27.45
2018-10-31,Itogon,Cabbage,30.5
2018-11-30,Itogon,Cabbage,73.2
2018-12-31,Itogon,Cabbage,106.75
2019-01-31,Itogon,Cabbage,12.3
2019-02-28,Itogon,Cabbage,28.7
2019-03-31,Itogon,Cabbage,45.1
2019-04-30,Itogon,Cabbage,28.7
2019-05-31,Itogon,Cabbage,49.2
2019-06-30,Itogon,Cabbage,69.7
2019-07-31,Itogon,Cabbage,4.1
2019-08-31,Itogon,Cabbage,12.3
2019-09-30,Itogon,Cabbage,18.45
2019-10-31,Itogon,Cabbage,20.5
2019-11-30,Itogon,Cabbage,49.2
2019-12-31,Itogon,Cabbage,71.75
2015-01-31,Kabayan,Cabbage,271.65
2015-02-28,Kabayan,Cabbage,633.85
2015-03-31,Kabayan,Cabbage,996.05
2015-04-30,Kabayan,Cabbage,633.85
2015-05-31,Kabayan,Cabbage,1086.6
2015-06-30,Kabayan,Cabbage,1539.35
2015-07-31,Kabayan,Cabbage,90.55
2015-08-31,Kabayan,Cabbage,271.65
2015-09-30,Kabayan,Cabbage,407.475
2015-10-31,Kabayan,Cabbage,452.75
2015-11-30,Kabayan,Cabbage,1086.6
2015-12-31,Kabayan,Cabbage,1584.625
2016-01-31,Kabayan,Cabbage,293.696
2016-02-29,Kabayan,Cabbage,685.29
2016-03-31,Kabayan,Cabbage,1076.884
2016-04-30,Kabayan,Cabbage,685.29
2016-05-31,Kabayan,Cabbage,1174.782
2016-06-30,Kabayan,Cabbage,1664.275
2016-07-31,Kabayan,Cabbage,97.899
2016-08-31,Kabayan,Cabbage,293.696
2016-09-30,Kabayan,Cabbage,440.543
2016-10-31,Kabayan,Cabbage,489.493
2016-11-30,Kabayan,Cabbage,1174.782
2016-12-31,Kabayan,Cabbage,1713.224
2017-01-31,Kabayan,Cabbage,401.4
2017-02-28,Kabayan,Cabbage,936.6
2017-03-31,Kabayan,Cabbage,1471.8
2017-04-30,Kabayan,Cabbage,936.6
2017-05-31,Kabayan,Cabbage,1605.6
2017-06-30,Kabayan,Cabbage,2274.6
2017-07-31,Kabayan,Cabbage,133.8
2017-08-31,Kabayan,Cabbage,401.4
2017-09-30,Kabayan,Cabbage,602.1
2017-10-31,Kabayan,Cabbage,669
2017-11-30,Kabayan,Cabbage,1605.6
2017-12-31,Kabayan,Cabbage,2341.5
2018-01-31,Kabayan,Cabbage,323.4
2018-02-28,Kabayan,Cabbage,754.6
2018-03-31,Kabayan,Cabbage,1185.8
2018-04-30,Kabayan,Cabbage,754.6
2018-05-31,Kabayan,Cabbage,1293.6
2018-06-30,Kabayan,Cabbage,1832.6
2018-07-31,Kabayan,Cabbage,107.8
2018-08-31,Kabayan,Cabbage,323.4
2018-09-30,Kabayan,Cabbage,485.1
2018-10-31,Kabayan,Cabbage,539
2018-11-30,Kabayan,Cabbage,1293.6
2018-12-31,Kabayan,Cabbage,1886.5
2019-01-31,Kabayan,Cabbage,424.35
2019-02-28,Kabayan,Cabbage,990.15
2019-03-31,Kabayan,Cabbage,1555.95
2019-04-30,Kabayan,Cabbage,990.15
2019-05-31,Kabayan,Cabbage,1697.4
2019-06-30,Kabayan,Cabbage,2404.65
2019-07-31,Kabayan,Cabbage,141.45
2019-08-31,Kabayan,Cabbage,424.35
2019-09-30,Kabayan,Cabbage,636.525
2019-10-31,Kabayan,Cabbage,707.25
2019-11-30,Kabayan,Cabbage,1697.4
2019-12-31,Kabayan,Cabbage,2475.375
2015-01-31,Kapangan,Cabbage,1.2276
2015-02-28,Kapangan,Cabbage,2.864
2015-03-31,Kapangan,Cabbage,4.501
2015-04-30,Kapangan,Cabbage,2.8644
2015-05-31,Kapangan,Cabbage,4.91
2015-06-30,Kapangan,Cabbage,6.956
2015-07-31,Kapangan,Cabbage,0.4092
2015-08-31,Kapangan,Cabbage,1.228
2015-09-30,Kapangan,Cabbage,1.841
2015-10-31,Kapangan,Cabbage,2.046
2015-11-30,Kapangan,Cabbage,4.91
2015-12-31,Kapangan,Cabbage,7.161
2016-01-31,Kapangan,Cabbage,2.358
2016-02-29,Kapangan,Cabbage,5.502
2016-03-31,Kapangan,Cabbage,8.646
2016-04-30,Kapangan,Cabbage,5.502
2016-05-31,Kapangan,Cabbage,9.432
2016-06-30,Kapangan,Cabbage,13.362
2016-07-31,Kapangan,Cabbage,0.786
2016-08-31,Kapangan,Cabbage,2.358
2016-09-30,Kapangan,Cabbage,3.537
2016-10-31,Kapangan,Cabbage,3.93
2016-11-30,Kapangan,Cabbage,9.432
2016-12-31,Kapangan,Cabbage,13.755
2017-01-31,Kapangan,Cabbage,2.106
2017-02-28,Kapangan,Cabbage,4.914
2017-03-31,Kapangan,Cabbage,7.722
2017-04-30,Kapangan,Cabbage,4.914
2017-05-31,Kapangan,Cabbage,8.424
2017-06-30,Kapangan,Cabbage,11.934
2017-07-31,Kapangan,Cabbage,0.702
2017-08-31,Kapangan,Cabbage,2.106
2017-09-30,Kapangan,Cabbage,3.159
2017-10-31,Kapangan,Cabbage,3.51
2017-11-30,Kapangan,Cabbage,8.424
2017-12-31,Kapangan,Cabbage,12.285
2018-01-31,Kapangan,Cabbage,0.929
2018-02-28,Kapangan,Cabbage,2.167
2018-03-31,Kapangan,Cabbage,3.406
2018-04-30,Kapangan,Cabbage,2.167
2018-05-31,Kapangan,Cabbage,3.715
2018-06-30,Kapangan,Cabbage,5.263
2018-07-31,Kapangan,Cabbage,0.31
2018-08-31,Kapangan,Cabbage,0.929
2018-09-30,Kapangan,Cabbage,1.393
2018-10-31,Kapangan,Cabbage,1.548
2018-11-30,Kapangan,Cabbage,3.715
2018-12-31,Kapangan,Cabbage,5.418
2019-01-31,Kapangan,Cabbage,1.905
2019-02-28,Kapangan,Cabbage,4.445
2019-03-31,Kapangan,Cabbage,6.985
2019-04-30,Kapangan,Cabbage,4.445
2019-05-31,Kapangan,Cabbage,7.62
2019-06-30,Kapangan,Cabbage,10.795
2019-07-31,Kapangan,Cabbage,0.635
2019-08-31,Kapangan,Cabbage,1.905
2019-09-30,Kapangan,Cabbage,2.858
2019-10-31,Kapangan,Cabbage,3.175
2019-11-30,Kapangan,Cabbage,7.62
2019-12-31,Kapangan,Cabbage,11.113
2015-01-31,Kibungan,Cabbage,471.96
2015-02-28,Kibungan,Cabbage,1101.24
2015-03-31,Kibungan,Cabbage,1730.52
2015-04-30,Kibungan,Cabbage,1101.24
2015-05-31,Kibungan,Cabbage,1887.84
2015-06-30,Kibungan,Cabbage,2674.44
2015-07-31,Kibungan,Cabbage,157.32
2015-08-31,Kibungan,Cabbage,471.96
2015-09-30,Kibungan,Cabbage,707.94
2015-10-31,Kibungan,Cabbage,786.6
2015-11-30,Kibungan,Cabbage,1887.84
2015-12-31,Kibungan,Cabbage,2753.1
2016-01-31,Kibungan,Cabbage,1208.94
2016-02-29,Kibungan,Cabbage,2820.86
2016-03-31,Kibungan,Cabbage,4432.78
2016-04-30,Kibungan,Cabbage,2820.86
2016-05-31,Kibungan,Cabbage,4835.76
2016-06-30,Kibungan,Cabbage,6850.66
2016-07-31,Kibungan,Cabbage,402.98
2016-08-31,Kibungan,Cabbage,1208.94
2016-09-30,Kibungan,Cabbage,1813.41
2016-10-31,Kibungan,Cabbage,2014.9
2016-11-30,Kibungan,Cabbage,4835.76
2016-12-31,Kibungan,Cabbage,7052.15
2017-01-31,Kibungan,Cabbage,1913.4
2017-02-28,Kibungan,Cabbage,4464.6
2017-03-31,Kibungan,Cabbage,7015.8
2017-04-30,Kibungan,Cabbage,4464.6
2017-05-31,Kibungan,Cabbage,7653.6
2017-06-30,Kibungan,Cabbage,10842.6
2017-07-31,Kibungan,Cabbage,637.8
2017-08-31,Kibungan,Cabbage,1913.4
2017-09-30,Kibungan,Cabbage,2870.1
2017-10-31,Kibungan,Cabbage,3189
2017-11-30,Kibungan,Cabbage,7653.6
2017-12-31,Kibungan,Cabbage,11161.5
2018-01-31,Kibungan,Cabbage,1116.9
2018-02-28,Kibungan,Cabbage,2606.1
2018-03-31,Kibungan,Cabbage,4095.3
2018-04-30,Kibungan,Cabbage,260610
2018-05-31,Kibungan,Cabbage,4467.6
2018-06-30,Kibungan,Cabbage,6329.1
2018-07-31,Kibungan,Cabbage,372.3
2018-08-31,Kibungan,Cabbage,1116.9
2018-09-30,Kibungan,Cabbage,1675.35
2018-10-31,Kibungan,Cabbage,1861.5
2018-11-30,Kibungan,Cabbage,446.76
2018-12-31,Kibungan,Cabbage,6515.25
2019-01-31,Kibungan,Cabbage,1459.062
2019-02-28,Kibungan,Cabbage,3404.478
2019-03-31,Kibungan,Cabbage,5349.894
2019-04-30,Kibungan,Cabbage,3404.478
2019-05-31,Kibungan,Cabbage,5836.248
2019-06-30,Kibungan,Cabbage,8268.018
2019-07-31,Kibungan,Cabbage,486.354
2019-08-31,Kibungan,Cabbage,1459.062
2019-09-30,Kibungan,Cabbage,2188.593
2019-10-31,Kibungan,Cabbage,2431.77
2019-11-30,Kibungan,Cabbage,5836.248
2019-12-31,Kibungan,Cabbage,8511.195
2015-01-31,La Trinidad,Cabbage,26.336
2015-02-28,La Trinidad,Cabbage,61.45
2015-03-31,La Trinidad,Cabbage,96.564
2015-04-30,La Trinidad,Cabbage,61.45
2015-05-31,La Trinidad,Cabbage,105.342
2015-06-30,La Trinidad,Cabbage,149.235
2015-07-31,La Trinidad,Cabbage,8.779
2015-08-31,La Trinidad,Cabbage,26.336
2015-09-30,La Trinidad,Cabbage,39.503
2015-10-31,La Trinidad,Cabbage,43.893
2015-11-30,La Trinidad,Cabbage,105.342
2015-12-31,La Trinidad,Cabbage,153.624
2016-01-31,La Trinidad,Cabbage,24.205
2016-02-29,La Trinidad,Cabbage,56.479
2016-03-31,La Trinidad,Cabbage,88.752
2016-04-30,La Trinidad,Cabbage,56.479
2016-05-31,La Trinidad,Cabbage,96.821
2016-06-30,La Trinidad,Cabbage,137.163
2016-07-31,La Trinidad,Cabbage,8.068
2016-08-31,La Trinidad,Cabbage,24.205
2016-09-30,La Trinidad,Cabbage,36.308
2016-10-31,La Trinidad,Cabbage,40.342
2016-11-30,La Trinidad,Cabbage,96.821
2016-12-31,La Trinidad,Cabbage,141.197
2017-01-31,La Trinidad,Cabbage,27.617
2017-02-28,La Trinidad,Cabbage,64.441
2017-03-31,La Trinidad,Cabbage,101.264
2017-04-30,La Trinidad,Cabbage,64.441
2017-05-31,La Trinidad,Cabbage,110.47
2017-06-30,La Trinidad,Cabbage,156.499
2017-07-31,La Trinidad,Cabbage,9.206
2017-08-31,La Trinidad,Cabbage,27.617
2017-09-30,La Trinidad,Cabbage,41.426
2017-10-31,La Trinidad,Cabbage,46.029
2017-11-30,La Trinidad,Cabbage,110.47
2017-12-31,La Trinidad,Cabbage,161.102
2018-01-31,La Trinidad,Cabbage,22.799
2018-02-28,La Trinidad,Cabbage,53.197
2018-03-31,La Trinidad,Cabbage,83.596
2018-04-30,La Trinidad,Cabbage,53.197
2018-05-31,La Trinidad,Cabbage,91.195
2018-06-30,La Trinidad,Cabbage,129.193
2018-07-31,La Trinidad,Cabbage,7.6
2018-08-31,La Trinidad,Cabbage,22.799
2018-09-30,La Trinidad,Cabbage,34.198
2018-10-31,La Trinidad,Cabbage,37.998
2018-11-30,La Trinidad,Cabbage,91.195
2018-12-31,La Trinidad,Cabbage,132.993
2019-01-31,La Trinidad,Cabbage,29.07
2019-02-28,La Trinidad,Cabbage,67.83
2019-03-31,La Trinidad,Cabbage,106.59
2019-04-30,La Trinidad,Cabbage,67.83
2019-05-31,La Trinidad,Cabbage,116.28
2019-06-30,La Trinidad,Cabbage,164.73
2019-07-31,La Trinidad,Cabbage,9.69
2019-08-31,La Trinidad,Cabbage,29.07
2019-09-30,La Trinidad,Cabbage,43.605
2019-10-31,La Trinidad,Cabbage,48.45
2019-11-30,La Trinidad,Cabbage,116.28
2019-12-31,La Trinidad,Cabbage,169.575
2015-01-31,Mankayan,Cabbage,533.205
2015-02-28,Mankayan,Cabbage,1244.146
2015-03-31,Mankayan,Cabbage,1955.086
2015-04-30,Mankayan,Cabbage,1244.146
2015-05-31,Mankayan,Cabbage,2132.821
2015-06-30,Mankayan,Cabbage,3021.497
2015-07-31,Mankayan,Cabbage,177.735
2015-08-31,Mankayan,Cabbage,533.205
2015-09-30,Mankayan,Cabbage,799.808
2015-10-31,Mankayan,Cabbage,888.676
2015-11-30,Mankayan,Cabbage,2132.821
2015-12-31,Mankayan,Cabbage,3110.364
2016-01-31,Mankayan,Cabbage,909.184
2016-02-29,Mankayan,Cabbage,2121.43
2016-03-31,Mankayan,Cabbage,3333.675
2016-04-30,Mankayan,Cabbage,2121.43
2016-05-31,Mankayan,Cabbage,3636.737
2016-06-30,Mankayan,Cabbage,5152.044
2016-07-31,Mankayan,Cabbage,303.061
2016-08-31,Mankayan,Cabbage,909.184
2016-09-30,Mankayan,Cabbage,1363.776
2016-10-31,Mankayan,Cabbage,1515.307
2016-11-30,Mankayan,Cabbage,3636.737
2016-12-31,Mankayan,Cabbage,5303.575
2017-01-31,Mankayan,Cabbage,1022.132
2017-02-28,Mankayan,Cabbage,2384.976
2017-03-31,Mankayan,Cabbage,3747.819
2017-04-30,Mankayan,Cabbage,2384.976
2017-05-31,Mankayan,Cabbage,4088.53
2017-06-30,Mankayan,Cabbage,5792.084
2017-07-31,Mankayan,Cabbage,340.711
2017-08-31,Mankayan,Cabbage,1022.132
2017-09-30,Mankayan,Cabbage,1533.199
2017-10-31,Mankayan,Cabbage,1703.554
2017-11-30,Mankayan,Cabbage,4088.53
2017-12-31,Mankayan,Cabbage,5962.439
2018-01-31,Mankayan,Cabbage,912.437
2018-02-28,Mankayan,Cabbage,2129.019
2018-03-31,Mankayan,Cabbage,3345.602
2018-04-30,Mankayan,Cabbage,2129.019
2018-05-31,Mankayan,Cabbage,3649.747
2018-06-30,Mankayan,Cabbage,5170.475
2018-07-31,Mankayan,Cabbage,304.146
2018-08-31,Mankayan,Cabbage,912.437
2018-09-30,Mankayan,Cabbage,1368.655
2018-10-31,Mankayan,Cabbage,1520.728
2018-11-30,Mankayan,Cabbage,3649.747
2018-12-31,Mankayan,Cabbage,5322.548
2019-01-31,Mankayan,Cabbage,1323.15
2019-02-28,Mankayan,Cabbage,3087.35
2019-03-31,Mankayan,Cabbage,4851.55
2019-04-30,Mankayan,Cabbage,3087.35
2019-05-31,Mankayan,Cabbage,5292.6
2019-06-30,Mankayan,Cabbage,7497.85
2019-07-31,Mankayan,Cabbage,441.05
2019-08-31,Mankayan,Cabbage,1323.15
2019-09-30,Mankayan,Cabbage,1984.725
2019-10-31,Mankayan,Cabbage,2205.25
2019-11-30,Mankayan,Cabbage,5292.6
2019-12-31,Mankayan,Cabbage,7718.375
2015-01-31,Tuba,Cabbage,23.436
2015-02-28,Tuba,Cabbage,54.684
2015-03-31,Tuba,Cabbage,85.932
2015-04-30,Tuba,Cabbage,54.684
2015-05-31,Tuba,Cabbage,93.744
2015-06-30,Tuba,Cabbage,132.804
2015-07-31,Tuba,Cabbage,7.812
2015-08-31,Tuba,Cabbage,23.436
2015-09-30,Tuba,Cabbage,35.154
2015-10-31,Tuba,Cabbage,39.06
